id;cod_entrada;cod_saida;cliente;descricao;Beneficiamento;Setor;und;Peso;Valor_Unit;
21;46480293CS;46480293;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;REFORCO DE FIXACAO DO FILTRO CPL;ZN IRIDESCENTE TRIVALENTE - EA1;ESTACIONARIO I;PC;0,092;0,47;
22;AE020120033CS;AE020120033;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;SUPORTE FILTRO COMPLETO;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;PC;0,034;0,50;
23;AE40021000;518502960;* AETHRA SISTEMAS AUTOMOTIVOS S.A.;CJ. RINFORZO CHIUSURA COFANO MOBILE C;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,298;1,36;
24;7751589;465295270;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;PIASTRINA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;PC;0,064;0,31;
25;5U48390579T;5U4.839.057.9;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;PRESILHA ESTAMPADA COM TRAT TERMICO;ZN IRIDESCENTE TRIVALENTE + DSH - RA1;ROTATIVO I;PC;0,003;0,07;
26;172021709CS;172021709R;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;SUPORTE TANQUE COMPLETO;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,153;0,56;
27;46469207;464692070;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;SUPORTE TUB. DESCARGA;ZN IRIDESCENTE TRIVALENTE - RA1;ESTACIONARIO I;PC;0,163;0,31;
28;46470324;464703240;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;SUPORTE POST. FIX. RES. COMB.;ZN IRIDESCENTE TRIVALENTE - EA1;ROTATIVO I;PC;0,253;0,83;
29;123165238RE;123165238R;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ANEL DE TRAVAMENTO ESTAMPADO;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,127;0,80;
30;AE020120004E;AE020120004;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ANEL CRAVADO;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,082;0,64;
32;AE020120037E;AE020120037;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;SUPORTE CABO 1 ESTAMPADO;ZN INCOLOR TRIVALENTE - RA1;ESTACIONARIO I;PC;0,064;0,56;
33;AE020120025E;AE020120025;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;REFORCO TE ESTAMPADO;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,041;0,31;
34;2R2813519E;2R2.813.519;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;REFORÇO ESQ./DIR.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;1,149;6,13;
35;E3B1-9034-A-03C;E3B19034A03Z;***AETHRA SISTEMAS AUTOMOTIVOS S.A;INSERTO CAP RETAINER FLEX PETROL;ZN NIQUEL INCOLOR + SELANTE - RA2;ROTATIVO II;PC;0,072;0,65;
37;V40472200;V40472200C;DN AUTOMOTIVOS BRASIL LTDA;CANNOTTO LAMIERINO GOMMA;ZN IRIDESCENTE TRIVALENTE - EA1;ESTACIONARIO I;PC;0,462;2,33;
39;HDB060;55198247;DAYCO POWER TRANSMISSION LTDA;WUM62 POLIA COND BALANCEADA;ZN IRIDESCENTE TRIVALENTE + SELANTE - EA2;ESTACIONARIO I;PC;1,793;2,43;
40;HDB070;55181230;DAYCO POWER TRANSMISSION LTDA;POLIA COND. BALANCEADA WW213;ZN IRIDESCENTE TRIVALENTE + SELANTE - EA2;ESTACIONARIO I;PC;1,408;1,98;
41;HDB080;55181233;DAYCO POWER TRANSMISSION LTDA;WUM64 POLIA COND BALANCEADA;ZN IRIDESCENTE TRIVALENTE + SELANTE - EA2;ESTACIONARIO I;PC;1,721;2,43;
43;519466881;519466880;STOLA DO BRASIL LTDA- FILIAL BELO HORIZONTE;PIASTRA SUPORTO TAMP. SOSP SX;ZN IRIDESCENTE TRIVALENTE - EA1;ESTACIONARIO I;PC;1,323;3,32;
44;519466871;519466870;STOLA DO BRASIL LTDA- FILIAL BELO HORIZONTE;PIASTRA SUPORTO TAMP. SOSP. DX;ZN IRIDESCENTE TRIVALENTE - EA1;ESTACIONARIO I;PC;1,323;3,32;
46;51956963;51956963;TIBERINA AUTOMOTIVE MG COMP. MET. P/IND AUTOM LTDA;BLOCO P FUNDO DE APOIO  DO FAROL - DX;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;PC;0,242;0,32;
48;57210081;57200292;IOCHPE MAXION S/A; SUPORTE DOS PEDAIS PALIO HELLA SOLDADO;FOSFATO DE ZINCO OLEADO;FOSFATO;PC;1,227;3,08;
56;769885;94458A0;CISER FIXADORES AUTOMOTIVOS SA;PO SX FL MB 16 CHV 24 ZNI;ZN NIQUEL INCOLOR + SELANTE - RA2;ROTATIVO II;KG;0,025;5,28;
57;790066;96495A0;CISER FIXADORES AUTOMOTIVOS SA;PO QD SD AC M12X1,50 CHV 19 H 9,5FO;FOSFATO DE ZINCO OLEADO;FOSFATO;KG;0,002;1,21;
70;0257.R20002707;0257.R20000007;NUTEP SA INDUSTRIA METALURGICA;PORCA REDONDA RECARTILHADA M8;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;KG;0,006;0,00;
71;0242.R43010000;0242.R43010000;NUTEP SA INDUSTRIA METALURGICA;PORCA QUADRADA DE SOLDA M12;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;KG;0,029;3,03;
99;PF0P30248-TSU1;SER000281;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;TSU1- M12X1.75-6H(CL10)PORC RED SOLDA;DECAPAR E OLEAR - RM;RM - DECAPAR;KG;0,024;0,74;
117;793A479P2;793A479P2F;ABB ELETRIFICACAO LTDA;LUG COMPONENTE DE DISJ. RESID. ESTAMP;ESTANHO AÇO - RM;RM - DECAPAR;KG;0,011;7,73;
118;566B761P10;566B761P10F;ABB ELETRIFICACAO LTDA;TERMINAL COMP. DISJ. RESID. ESTAMP.;ESTANHO LATÃO - RM;RM - ESTANHO;KG;0,017;7,73;
371;ARRC40277;SER000281;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ARRUELA LISA 16X1.3;COBREAGEM - RM;RM - COBRE;KG;0,002;1,15;
412;PF0P43616-TSU1;SER000281;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;M6-1,0X18 SEXT 88;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,006;2,02;
459;PF0P36023-TSU1;SER000281;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;M10X1.50 CL8 PORCA CIL SOLDA;DECAPAR E OLEAR - RM;RM - DECAPAR;KG;0,015;0,68;
573;2197010012;3197020013;CICLOPE COMPONENTES AUTOMOTIVOS LTDA;ARRUELA 1159-65;ZN PRETO TRIVALENTE + SELANTE - EA1;ESTACIONARIO I;PC;0,074;0,37;
595;10010036;20040056;PROMA BRASIL AUTOMOTIVA LTDA;ABA FIXA DIANTEIRA SUPERIOR DIR MOD X1H;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,212;0,43;
596;10010037;20040058;PROMA BRASIL AUTOMOTIVA LTDA;ABA FIXA DIANTEIRO SUPERIOR ESQ MOD X1H;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,210;0,43;
597;10010038;20040052;PROMA BRASIL AUTOMOTIVA LTDA;ABA FIXA TRASEIRA SUPERIOR DIR MOD X 1H;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,181;0,43;
598;10010039;20040054;PROMA BRASIL AUTOMOTIVA LTDA;ABA FIXA TRASEIRA SUPERIOR ESQ MOD X 1H;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,185;0,43;
607;20190009;20040034;PROMA BRASIL AUTOMOTIVA LTDA;ABA FIXA TRASEIRA INF. DIREITA.- 50342T;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,190;0,43;
611;20190012;20040039;PROMA BRASIL AUTOMOTIVA LTDA;ABA MOVEL DIANTEIRO INF. ESQ.- 50331TS;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;PC;0,112;0,24;
619;776164;95297A1;CISER FIXADORES AUTOMOTIVOS SA;PA CL SI 8.8 M6X1X16 TOL 6G C;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;KG;0,018;2,29;
620;780139;95794A1;CISER FIXADORES AUTOMOTIVOS SA;PA AB TV AC G5 UNF 5/8X87 RP;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;KG;0,162;1,65;
622;795277;72400332;CISER FIXADORES AUTOMOTIVOS SA;PI SD AP 5.0X14 RI ZB;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;KG;0,002;2,14;
624;769299;94381A0;CISER FIXADORES AUTOMOTIVOS SA;PO QD SD MA 8 CHV 14 H=8,4 6G;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;KG;0,009;1,65;
625;769735;94520A0;CISER FIXADORES AUTOMOTIVOS SA;PO QD SD C8 M8 CHV 14 H=6,5 6;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;KG;0,007;2,14;
626;769736;94485A0;CISER FIXADORES AUTOMOTIVOS SA;PO QD C8 M6 CHV 10 H=5,0 6H;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;KG;0,003;2,14;
628;776165;95291A0;CISER FIXADORES AUTOMOTIVOS SA;PO SX 8M6X1 H= 5 TOL 6 H CHV;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;KG;0,002;3,08;
630;791165;1A00302300;CISER FIXADORES AUTOMOTIVOS SA;COLAR AC BTC 5 R12 GAHL 3/8;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;KG;0,012;3,08;
631;776032;95188A0;CISER FIXADORES AUTOMOTIVOS SA;POQDSDC 10 M6X1H=6.3 TOL 6G C;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;KG;0,004;2,81;
632;791077;1A00403900;CISER FIXADORES AUTOMOTIVOS SA;PI BT BR 12.8 3.8X1.9.16;ZN INCOLOR TRIVALENTE + DSH + SELANTE - RA1;ROTATIVO I;KG;0,031;2,94;
633;792243;1A00404200;CISER FIXADORES AUTOMOTIVOS SA;PI BT BR.10 AC 5/16X1.3/8;ZN INCOLOR TRIVALENTE + DSH + SELANTE - RA1;ROTATIVO I;KG;0,018;2,31;
635;796686;1A00404100;CISER FIXADORES AUTOMOTIVOS SA;PI BT BR10-6 AC 5/16X1.9/32;ZN INCOLOR TRIVALENTE + DSH + SELANTE - RA1;ROTATIVO I;KG;0,017;2,99;
637;791130;1A00403300;CISER FIXADORES AUTOMOTIVOS SA;BT 98T R8-4 PI AC 1/4X1;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;KG;0,009;2,31;
638;796201;1A00403000;CISER FIXADORES AUTOMOTIVOS SA;BT 98T R8 .22 PI AC 1.4X2 1.8;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;KG;0,017;3,08;
639;791137;1A00302100;CISER FIXADORES AUTOMOTIVOS SA;COLAR AC BTC R8 ZBT;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;KG;0,003;3,08;
640;791332;1A00302400;CISER FIXADORES AUTOMOTIVOS SA;COLAR BTC5 R10 ZBT;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;KG;0,007;3,08;
641;768404;72400111;CISER FIXADORES AUTOMOTIVOS SA;PI SD M6X14;COBREAGEM - RM;RM - COBRE;KG;0,002;2,08;
642;768584;72400311;CISER FIXADORES AUTOMOTIVOS SA;PI SD AP 5,0X14 RI CBR;COBREAGEM - RM;RM - COBRE;KG;0,002;2,08;
643;768586;72400611;CISER FIXADORES AUTOMOTIVOS SA;PI SD AP 5,0X16 RI CBR;COBREAGEM - RM;RM - COBRE;KG;0,002;2,08;
644;779215;95647A1;CISER FIXADORES AUTOMOTIVOS SA;PA SD M6X22 MPOINT CBR;COBREAGEM - RM;RM - COBRE;KG;0,005;2,08;
646;788677;96430A1;CISER FIXADORES AUTOMOTIVOS SA;PI SD AP AC 5X14RI CBR;COBREAGEM - RM;RM - COBRE;KG;0,002;2,08;
648;789316;96525A1;CISER FIXADORES AUTOMOTIVOS SA;PA SD PL M POINT AC 3PJ M 6X1,00X16 RI PO;DECAPAR E OLEAR - RM;RM - DECAPAR;KG;0,011;0,82;
649;796119;96756A1;CISER FIXADORES AUTOMOTIVOS SA;PASDCIR AC 8.8 M8X1,25X25 RI ET;DECAPAR E OLEAR - RM;RM - DECAPAR;KG;0,011;0,68;
650;788459;96406A0;CISER FIXADORES AUTOMOTIVOS SA;PO QD SD AC C.10 M12X1,5;DECAPAR E OLEAR - RM;RM - DECAPAR;KG;0,037;0,82;
651;769008;96062A0;CISER FIXADORES AUTOMOTIVOS SA;PO BO SD C.8 MA 8 H=6,3 POL;DECAPAR E OLEAR - RM;RM - DECAPAR;KG;0,001;0,82;
652;789283;96480A1;CISER FIXADORES AUTOMOTIVOS SA;PA CH SI AC 8.8 M8X1,25X27;FOSFATO DE ZINCO OLEADO;FOSFATO;KG;0,000;1,01;
656;784179;96177A1;CISER FIXADORES AUTOMOTIVOS SA;BUCHA AC 8X12 BCT;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,003;1,65;
658;707550;94666A2;CISER FIXADORES AUTOMOTIVOS SA;PA SD 3PJES 8.8 M10X30  94666;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,000;1,65;
659;707559;72307702;CISER FIXADORES AUTOMOTIVOS SA;PA SD 3PJES 8.8 MA 8X25 RI BC;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,001;1,65;
660;709379;95285A1;CISER FIXADORES AUTOMOTIVOS SA;PASXFLCL 8.8M8X1,25X48X1 CHV;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,003;1,65;
664;769617;94456A1;CISER FIXADORES AUTOMOTIVOS SA;PA SD 3PJ ES MA 8X16 RI BCT;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,011;1,65;
665;773054;94930A1;CISER FIXADORES AUTOMOTIVOS SA;HA RO 8.8 M10X1,25X75 2 LR 25;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,046;1,65;
668;776119;95280A1;CISER FIXADORES AUTOMOTIVOS SA;PI ESF 10X24 ZB;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,011;1,69;
669;776729;95299A1;CISER FIXADORES AUTOMOTIVOS SA;PA SX FL 8.8 M8X1,25X90 6F CH;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,043;1,65;
670;777042;95414A1;CISER FIXADORES AUTOMOTIVOS SA;PA SD 8.8 M6X1,0X21 6G DEC OL;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,008;1,65;
671;779883;94177A4;CISER FIXADORES AUTOMOTIVOS SA;PASX  AC 5.8 M10X2.5X130 RP 6;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,070;1,65;
673;784802;96221A1;CISER FIXADORES AUTOMOTIVOS SA;PA CL RC AC 8X41 BC;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,017;1,65;
674;788760;96431A1;CISER FIXADORES AUTOMOTIVOS SA;PI RE AC 8X29 BCT;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,017;1,65;
675;789042;72303202;CISER FIXADORES AUTOMOTIVOS SA;PA SD 3PJ AP MA 6X25;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,007;2,40;
676;795278;72400147;CISER FIXADORES AUTOMOTIVOS SA;PI SD MA 6X14 RI BCTR;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,003;2,40;
677;796350;95280A2;CISER FIXADORES AUTOMOTIVOS SA;PI ESF 10X26;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,012;1,65;
678;796894;72303801;CISER FIXADORES AUTOMOTIVOS SA;PA SD 3PJ ES AC 8.8 MA 8X22 RI ZIR;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,013;1,65;
679;796989;72303201;CISER FIXADORES AUTOMOTIVOS SA;PA SD 3PJ ES AC M6X1,0X25 6G RI ZIR;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,007;2,40;
681;797004;97007A1;CISER FIXADORES AUTOMOTIVOS SA;PA CL SI 2AR AC 8.8 M6X1X25 RP ZIT;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,014;1,65;
682;797065;97023A0;CISER FIXADORES AUTOMOTIVOS SA;POSXFL AC C.8 UNF 7/16 CHV 17 H9;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,014;2,40;
683;707722;94993A0;CISER FIXADORES AUTOMOTIVOS SA;PO SX M12-1,75 CHV 18 H12 ZNI;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,021;2,40;
684;707723;94994A0;CISER FIXADORES AUTOMOTIVOS SA;PO SX FL M14-2,0 CHV 21 H14 B;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,039;2,40;
685;767719;93968A0;CISER FIXADORES AUTOMOTIVOS SA;PO SX CL8 10 MA 6 CHV 10 C;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,002;2,40;
686;769624;94440A0;CISER FIXADORES AUTOMOTIVOS SA;PO SX MA C.88 CHV 13;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,006;2,40;
687;769737;94486A0;CISER FIXADORES AUTOMOTIVOS SA;PO QD SD C 8 M6 CHV 10H5.5 6G;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,002;2,40;
689;772479;94871A0;CISER FIXADORES AUTOMOTIVOS SA;PO SX MA C.8 10 CHV 17;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;KG;0,010;2,14;
690;774345;95073A0;CISER FIXADORES AUTOMOTIVOS SA;PO CL SD CL8 M8X1,256G 95073A;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;KG;0,000;2,14;
691;776143;801103;CISER FIXADORES AUTOMOTIVOS SA;POSXFL C 8 M6X1,0X10 TOL 6H C;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,054;2,14;
692;779773;72200701;CISER FIXADORES AUTOMOTIVOS SA;PO BOCCOLA C.8 UNF 2B 7/16 H1;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,023;2,40;
693;780724;95897A0;CISER FIXADORES AUTOMOTIVOS SA;PO BOCCOLA AC C 8 M8 H13;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,012;2,14;
694;789233;96443A1;CISER FIXADORES AUTOMOTIVOS SA;PO CL TV AC C8 M10X1,25  BCT;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,026;2,40;
695;789266;96496A0;CISER FIXADORES AUTOMOTIVOS SA;PO SX AC G 8 UNF 5/8 CHV 15/16 BC;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,033;2,40;
697;792230;96794A0;CISER FIXADORES AUTOMOTIVOS SA;PO CLSD C12 AC M10X1.5 D 18.5 H11;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,018;2,40;
698;792685;96821A0;CISER FIXADORES AUTOMOTIVOS SA;PO SX FL SD AC C 10 M8X1.25;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,012;2,40;
699;792688;96820A0;CISER FIXADORES AUTOMOTIVOS SA;PO QD AC C 10 M6X1.0;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,007;2,40;
700;796001;96864A0;CISER FIXADORES AUTOMOTIVOS SA;POSXFLSD C10  AC M10 CHV16 H13;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,022;2,40;
701;796236;96895A0;CISER FIXADORES AUTOMOTIVOS SA;PO SX FL AC C.8 M5X0,8 CHV 8;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,002;2,40;
703;789906;96594A0;CISER FIXADORES AUTOMOTIVOS SA;BUFLQD AC 21,8 H 7,0 BCT;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;KG;0,010;1,65;
708;769739;94489A0;CISER FIXADORES AUTOMOTIVOS SA;PO QD SD C.12 M8 CHV 14 H =9,;ZN IRIDESCENTE TRIVALENTE + DSH - RA1;ROTATIVO I;KG;0,010;3,10;
709;796025;96867A0;CISER FIXADORES AUTOMOTIVOS SA;PO CL SD AC 10 M6X1,0 6G D=13 H=6,5  ZIR;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;KG;0,007;2,81;
710;706040;94382A0;CISER FIXADORES AUTOMOTIVOS SA;PO QD SD MA 10 CHV 17 H=10,5;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;KG;0,016;3,10;
711;777596;95448A1;CISER FIXADORES AUTOMOTIVOS SA;PA PRI M12-1,25X90 - 3H 6G 10;ZN IRIDESCENTE TRIVALENTE + DSH + SELANTE - RA1;ROTATIVO I;KG;0,000;3,08;
712;779296;95691A1;CISER FIXADORES AUTOMOTIVOS SA;PRI 10.9 AC M12X100 3H 6G;ZN IRIDESCENTE TRIVALENTE + DSH - RA1;ROTATIVO I;KG;0,078;3,08;
713;709578;95426A1;CISER FIXADORES AUTOMOTIVOS SA;PA CIL SD 8.8 M6X12 POL    95;DECAPAR E OLEAR - RM;RM - DECAPAR;KG;0,000;0,68;
715;780185;95447A1;CISER FIXADORES AUTOMOTIVOS SA;PA SD 8.8 M8X1,25X20 DEC OL;DECAPAR E OLEAR - RM;RM - DECAPAR;KG;0,000;0,68;
717;796120;96746A1;CISER FIXADORES AUTOMOTIVOS SA;PA SD CIR AC 8 8 M6X20 RI POL;DECAPAR E OLEAR - RM;RM - DECAPAR;KG;0,080;0,82;
718;784129;95069A0;CISER FIXADORES AUTOMOTIVOS SA;PO CL M22 1,5 35X9 POL;DECAPAR E OLEAR - RM;RM - DECAPAR;KG;0,023;0,82;
719;790365;96670A0;CISER FIXADORES AUTOMOTIVOS SA;PO BOCCOLA AC M12X1,25 CH;DECAPAR E OLEAR - RM;RM - DECAPAR;KG;0,018;0,82;
720;795449;1A00304800;CISER FIXADORES AUTOMOTIVOS SA;COLAR MBTC AC R14 ZP;ZN NIQUEL PRETO + SELANTE - RA2;ROTATIVO II;KG;0,037;2,16;
723;796761;96968A0;CISER FIXADORES AUTOMOTIVOS SA;PO QD SD AC C.12 M12X1,5 ZB;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;KG;0,022;2,81;
724;775133;95106A0;CISER FIXADORES AUTOMOTIVOS SA;PO QD SD C12 M8X1,25 CHV 14 H;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;KG;0,010;2,81;
727;791220;96785A1;CISER FIXADORES AUTOMOTIVOS SA;PA AB TV AC G 8 UNF 5/8X5.3/16 RP ZB;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;KG;0,241;2,34;
728;796897;96989A1;CISER FIXADORES AUTOMOTIVOS SA;PA SD CL AC UNF 7/16 X34,50 RI ZI;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;KG;0,040;2,34;
729;766136;93746A1;CISER FIXADORES AUTOMOTIVOS SA;PA PN HXL T15 HI LO 4.2X22 RI;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;KG;0,002;2,81;
730;797007;97010A1;CISER FIXADORES AUTOMOTIVOS SA;PA CL SI AR AC 8.8 M6X1X20;ZN FERRO PRETO + DSH + SELANTE - RA2;ROTATIVO II;KG;0,007;4,74;
732;709441;95286A1;CISER FIXADORES AUTOMOTIVOS SA;PA CI SI 2 AR 8.8 M6X1X25 6G;ZN FERRO PRETO + SELANTE - RA2;ROTATIVO II;KG;0,014;3,23;
734;789078;96451A0;CISER FIXADORES AUTOMOTIVOS SA;PO SX CL AC 8 M12X1,75;ZN FERRO PRETO + SELANTE - RA2;ROTATIVO II;KG;0,033;4,02;
735;776819;95287A1;CISER FIXADORES AUTOMOTIVOS SA;PA CL SI AR 8.8 M6X1X20 6G RI;ZN FERRO PRETO + DSH + SELANTE - RA2;ROTATIVO II;KG;0,008;4,72;
736;706515;94630A0;CISER FIXADORES AUTOMOTIVOS SA;PO SX CL 10 M8 CHV 13 H 8;ZN FERRO PRETO + DSH + SELANTE - RA2;ROTATIVO II;KG;0,007;4,72;
737;796262;96901A1;CISER FIXADORES AUTOMOTIVOS SA;PA CL TV AC 8.8 MA 8X18 RI ZN;ZN NIQUEL INCOLOR + SELANTE - RA2;ROTATIVO II;KG;0,012;4,33;
